Companies,Positions,ID,Descriptions
UnitedHealth Group,Principal Data Scientist,41f63fd1515b11be,"['Improve and extend the analytic methods in our products', 'Work alongside other data scientists, engineers, and project managers to design and implement models and experiments from end to end, including data ingestion and preparation, feature engineering, analysis and modeling, model deployment, performance tracking and documentation', 'Utilize machine learning methodologies', 'Conduct hands-on data analysis and predictive analytics on large datasets', 'Effectively communicate complex technical results to business partners', 'Support and drive analytic efforts around machine learning and innovation', 'Work with a great deal of autonomy to find solutions to complex problems', 'Bachelor’s Degree with Master’s Degree highly preferred in a quantitative field such as Statistics, Mathematics, Computer Science or related field', '2+ years experience in a big data environment integrating data and extracting insights from information across multiple platforms', '2+ years of business experience using Python, or similar software, for data management', 'Experience implementing models based on Artificial Intelligence and Machine Learning (machine learning techniques used need to be clearly defined in resume)', 'Experience with predictive and Prescriptive Modeling', 'Ability to communicate effectively across a variety of stakeholders and cross matrixed teams', 'Capability to manage own work and work as a ‘thought partner’ across the team', 'Supervisory experience', 'Tableau reporting system experience', 'Familiarity with Medicare, Medicaid, ACA concepts; understanding of plan types such as MAPD, DSNP, Group Retiree', 'Experience using R, SAS, and SQL Server for data management and analytics', 'Professional experience with modeling supporting marketing or behavioral science projects', 'Demonstrated ability to work in a fast-paced environment, handling multiple priorities', 'Strong knowledge of health care industry or experience with human clinical research studies in a business environment']"
Wayfair,"Data Scientist, Developer Experience",fef4e0d6b58105e7,"['Work with large, complex data sets. Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed.', 'Conduct analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations.', 'Build and prototype analysis pipelines iteratively to provide insights at scale.', 'Interact cross-functionally, making recommendations with effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative information.', ""Research and develop analysis, forecasting, and optimization methods to improve the quality of Wayfair's developer-facing tools and processes."", 'Participate in cutting edge research in machine intelligence and machine learning applications.', 'Develop solutions for real-world, large scale problems.', 'Masters degree in a quantitative discipline (e.g., Statistics, Operations Research, Computer Science, Mathematics, Physics) or equivalent practical experience.', '4 years of relevant work experience.', 'Experience with statistical software (e.g., R, Python, MATLAB, pandas) and database languages (e.g., SQL, NOSQL)', 'Applied experience with machine learning on large datasets.', 'Experience articulating and translating business questions and using statistical techniques to arrive at an answer using available data.', 'Demonstrated leadership and self-direction. Willingness to both teach others and learn new techniques.', 'Effective written and verbal communication skills.']"
NeuroSoph,Data Scientist,e93ea4e970bcf843,"['Translate product ideas into well-posed data science challenges, and solve them', 'Design and deploy Machine Learning (ML) systems using supervised, unsupervised learning, NLP, and NLU', 'Participate in the broader ML community to stay current with the latest techniques and software', 'Good knowledge of image processing and computer vision techniques is required', 'Flexibility to travel to clients throughout North America', 'Competencies typically acquired through a masters or bachelor’s degree program in Engineering, Computer Science, Mathematics, or a related field – especially an understanding of statistics, linear algebra, and mathematical analysis.', '3-5 years of relevant work experience in the area of machine learning and/or deep learning, including experience manipulating and analyzing unstructured data sets.', 'A strong programming background – preferably with Python, but also Java, C++, or similar language – along with knowledge of standard machine learning libraries (TensorFlow, PyTorch, Caffe2, SciKit-Learn, etc.).', 'A proven track record of rapid prototyping and development, leveraging open source or commercial frameworks.', 'Ability to thrive in a fast-paced environment with significant uncertainty.', 'Possess strong analytical and problem-solving skills with a positive mindset and attitude.', 'Excellent oral communication skills are necessary', 'Ability to travel to Boston to work with the team and client. Travel will be paid for by NeuroSoph.', 'Ability to engage in research and drive to become a lead AI research scientist.']"
AETNA,Senior Data Scientist,618173f1c642b156,"['Develops and/or uses algorithms and statistical predictive models.', 'Brings clinical insights to inform predictive models: is comfortable reading academic clinically oriented literature and collaborating with clinical subject matter experts to inform predictive models.', 'Performs analyses of structured and unstructured data to solve multiple and/or complex business problems using advanced statistical techniques and mathematical analyses and broad knowledge of the organization and/or industry.', 'Collaborates with business partners to understand their problems and goals, develop predictive modeling, statistical analysis, data reports and performance metrics.', 'Develops and participates in presentations and consultations to existing and prospective constituents on analytics results and solutions.', 'Interacts with internal and external peers and managers to exchange complex information related to areas of specialization.', 'Use strong knowledge in algorithms and predictive models to investigate problems, detect patterns and recommend solutions.', 'Use strong programming skills to explore, examine and interpret large volumes of data in various forms.', '5 or more years of progressively complex related experience.', 'Demonstrates proficiency in most areas of mathematical analysis', 'Strong knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sources.', 'Anticipates and prevents problems and roadblocks before they occur.', 'Demonstrates strong ability to communicate technical concepts and implications to business partners.', 'Clinically oriented background or professional experience is a plus.']"
Facebook,"Data Scientist, Infrastructure Strategy Intern",8c5571efc86d4ba7,"['Leverage data and business principles to solve large scale web, mobile and data infrastructure problems.', 'Build and maintain data driven optimization models, experiments, forecasting algorithms, and machine learning models.', 'Leverage tools like R, Python, Hadoop & SQL to drive efficient analytics.', 'Pursuing a BS, MS, or PhD in Computer Science, Engineering, Statistics, Economics, Social Science, Mathematics, or Interdisciplinary programs including the above disciplines', 'Proficient in SQL and at least one programming language (PHP, Python, C, C++, Java)', 'Basic understanding of statistics', 'Basic understanding of Machine Learning techniques', 'Hands-on experience with medium to large datasets (i.e. data extraction, cleaning, analysis and presentation).', 'Proficient in SQL and at least one programming language (PHP,Python,Perl, C, C++, Java)', 'Basic understanding of statistics and optimization techniques.', 'Hands-on experience with medium to large datasets (i.e. data extraction, cleaning, analysis and presentation).', 'Basic experience with packages such as NumPy, SciPy, pandas, scikit-learn, dplyr, ggplot2', 'Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment', 'Intent to return to degree-program after the completion of the internship/co-op', 'Proven ability to solve problems in nonstandard and innovative ways', 'Excellent communication skills']"
,,,
Beacon Health Options,Data Scientist,3979cbcc2268abb0,"['Lead development and implementation of models that help us understand and describe the impact of our healthcare programs. This includes literature searches, development and implementation of study methodology and documentation, data extraction, statistical analysis, coordinating with design and implementation of interventions based on findings and assessing intervention impacts to achieve and maintain improvement.', 'Extract, prepare, cleanse, and verify the integrity of data used for analysis', 'Create standard frameworks and processes for systematic statistical modeling.', 'Visualize and interpret the results of analyses to articulate recommendations to shape strategy.', 'Partner with key business partner teams to understand needs and conduct analyses that will help determine strategy and clinical and operational program enhancements.', 'Advocate the benefits of, and appropriate use of, advanced analytics across the organization.', 'Serve as mentor to team analysts should their individual analytics projects require more advanced statistical methods', 'At least 3 years’ experience in related healthcare analytics or value-based care research.', 'Strong knowledge and experience with analytic tools and applications in healthcare like episode analytics and risk adjustment.', 'Excellent technical – and intuitive - analytic skills.', 'Excellent written and verbal communication skills, as well as presentation skills. An ability to ‘tell the story’ from the data and models.', 'Strong technical skills to extract, transpose, and analyze Big Data using SAS, R, Python, SQL or similar methods in Oracle, Teradata, or Hadoop environments (or similar) and use of advanced visualization tools such as Tableau or PowerBI.', 'Direct experience building and productionalizing statistical and machine learning models (linear regression, generalized linear models, random forest, k-nearest neighbors, etc.) on realistic (imperfect) data sets. Understanding of various data structures and common methods in data cleansing and transformation to build the data sets for analyses.', 'Experience in presenting results from analyses and modeling to non-technical partners.', 'Experience with natural language processing a plus']"
Klaviyo,Data Scientist,d7bf48644cb2042c,"['Have a strong fundamental understanding and deep experience with at least some machine learning algorithms (e.g. regressions, decision trees, k-means clustering, neural networks).', 'Understand Bayesian modeling techniques.', 'Are capable of analyzing data and making rigorous statements about what can or cannot be concluded.', 'Have experience designing and implementing model performance/validation assessments.', 'Have a background in statistics and understand different distributions and the conditions under which they’re valid.', 'Know how code and have used data science tools and packages.', 'Have demonstrated a measurable impact based on the models you’ve created. It’s not always easy getting a model correct and we love talking about places we got stuck and working as a team to think through ideas that could unblock us.', 'Have a desire to ship features powered by data science (in other words, you’re excited by both upfront research and actually getting models into production at cloud scale).', 'Bachelor’s or advanced degree in statistics, applied mathematics, computer science or other relevant quantitative discipline, or equivalent industry experience.', 'Have worked in a data science role for 2+ years professionally or academically and can talk about your projects and the techniques you used.']"
Cardinal Health,Data Scientist,97f5cbd91543f63c,"['Drive digitizing and systematizing internal knowledge and integrate them into standard processes', 'Contribute internal innovation efforts to make decisions faster and more effectively', 'Remain up to date on emerging applicable technologies and analytical methods and recommend them as appropriate', 'Support change management efforts to help adopt new information assets (e.g., dashboards)', 'Keep existing algorithms and business logic up to date and review periodically to ensure they continue to meet the business needs', 'Responsible for development, validation and implementation of new predictive models, learning algorithms, and analytics', 'Assist others within the team, and cross-functionally, with their analysis. Help to aggregate and structure data that meets team member requirements.', 'Conduct research across the business functions to understand the Red Oak business and the generic pharmaceutical industry', 'Employ statistical and modeling techniques to uncover insights and draw meaningful conclusions about Red Oak’s portfolio and broader business', 'Work with stakeholders to clearly understand the implications of these trends and help develop actionable recommendations to address business problems', '3+ years of related experience', 'Advanced degree in quantitative or technical field preferred (e.g. data science, applied analytics, econometrics, mathematics, engineering, etc.)', 'Strong understanding of advanced statistical methods (sampling; regression methods; classification algorithms; distributions, etc.)', 'Strong understanding of SQL and advanced knowledge of other scripting/statistical programming languages (VBA, Python, R, etc.)', 'Ability to build and present a business case extending from proposed data initiatives and analysis', 'Experience in data analytics platforms such as Alteryx or Azure Data Factory, and visualization software such as Tableau or Qlik', 'Experience with innovation methods is a plus (e.g., human centered design, systems thinking)']"
"Foundation Medicine, Inc.",Data Scientist,6191757120becbd1,"['Expertise in analyzing clinical health data, particularly survival/outcomes analyses.', 'Expertise in biostatistics, epidemiology, and/or statistical genetics.', 'Proficiency with statistical analysis software and/or scripting languages (R and/or Python preferred, but are amenable to others).', 'Lead our efforts to shape the evolving landscape of clinical oncology with real-world evidence.', 'Support commercial data science projects as part of a cross-functional team.', 'Co-author case studies and peer-reviewed publications.', 'Contribute to a learning culture with conference presentations, journal clubs, etc. to share what you learn and enrich collaborations across Foundation Medicine.', 'PhD in Biostatistics, Epidemiology, Bioengineering, or a related field; or MS with 3-5 years related work experience.', 'Experience with longitudinal electronic health/medical records is a plus but not required.', 'Experience in oncology (clinical oncology, cancer biology, and/or cancer bioinformatics) is a plus but not required.', 'Proficiency in a database query language (e.g. SQL) is a plus.', 'Those with publications or projects directly related to analyses of clinical and/or genomic data preferred. Please submit a publication list (Pubmed or Google Scholar profile accepted).']"
Retail Business Services,Data Scientist (Co-op),d5f33dad6a30da09,"['Knowledge of analytics tools and platforms (preferably Microsoft Azure) but Tableau,', 'Knowledge of statistical and predictive modeling concepts and disciplines including', 'Knowledge of industry-leading practices', 'Ability to propose analytic strategies and solutions as a business need', 'Analyzing source system data and data flows, working with structured and unstructured data', 'Manipulating high-volume, high-dimensionality data from varying sources to highlight patterns, anomalies, relationships and trends', 'Must possess the ability to effectively communicate using strong verbal, written and listening skills', 'Must be able to adapt quickly to change without being afraid to take on new responsibilities in a fast paced team environment while being proactive and action-oriented', 'Ability to come up with creative technical ways to resolve application and system issues', 'Understanding agile development methodologies or concepts; experience with is a plus', 'Excellent diagnostic, debugging, and troubleshooting skills', 'Working knowledge of any of the following languages: Python, Java, R, SQL, HQL, Gremlin, Cypher']"
Brigham & Women's Hospital(BWH),Clinical Data Scientist / 40 Hours / Day / BWH APSI,7baaacd0c63d2be6,"['Develops and/or uses statistical algorithms and modeling techniques to evaluate scenarios and predict future outcomes', 'Consults with clinical leaders to understand problems and goals, and translate these needs into advanced analytics solutions', 'Quickly develops subject-matter expertise by fully understanding the complex methodologies used for measurement of healthcare outcomes', 'Applies statistical rigor to analyze large amounts of data using advance data science techniques', 'Wrangles structured and unstructured data to solve complex business problems', 'Manages large and complex analytical projects through data exploration and modeling, testing and evaluation', 'Closely collaborates with analysts and data engineers at the Decision Support Systems (DSS) team at the Brigham, as well as the Partners eCare (PeC) reporting team at Partners HealthCare, to develop technical and business approaches and/or enhanced technical tools', 'Creates innovative visualizations of the data to effectively communicate analytical results', 'Translates the data artifacts into clinical and business insights, and delivers these insights through presentations prepared for audiences at various levels of leadership and technical expertise', 'Demonstrates superior communication skills, and ability to develop and participate in presentations and consultations on analytics results and solutions', 'Works closely with thought leaders in clinical, analytics and data science areas at the Brigham and Women’s Hospital, Center of Clinical Decision Support, and other entities affiliated with Partners Healthcare, to reuse and share knowledge, tools and methodologies', 'Mentors others and champions a culture of transparent feedback and continuous learning', 'Masters’ degree required in data science, biomedical informatics, statistics/biostatistics, epidemiology, economics/econometrics, or related disciplines (PhD is a plus)', '3-5 years of relevant, progressively complex experience in data management in an industry setting required', 'Demonstrated experience with observational and interventional study designs required', 'Demonstrated experience with data mining and predictive modeling techniques required; familiarity with neural networks and Bayesian modeling techniques is a plus.', 'Deep understanding of platforms and languages to analyze large data sets from multiple sources preferred', 'Experience with electronic health record (EHR) data required (experience with Epic Systems highly preferred)', 'Strong skills with SQL and one statistical programming language required (experience with R preferred). Broad experience in programming across different platforms and languages preferred.', 'Experience with managing several concurrent, complex projects required (2 years minimum)', 'Excellent organizational skills and attention to detail required', 'Excellent communication and writing skills required', 'Demonstrated analytical and problem-solving capabilities required', 'Clinically oriented background or professional experience is a plus', 'Familiarity and experience with Agile development principles is a plus']"
Vertex Pharmaceuticals,Healthcare Data Scientist,3f06785cad4921c1,"['Be the primary technical lead focused on creative use of diverse data sources, such as clinical trial data, electronic health record data, insurance claims data, and/or other provider and patient level data.', 'Guide deployment of advanced analytical techniques to tackle problems across different functions.', 'Advise senior management on opportunities and gaps in the company’s current capabilities across data science technology and infrastructure, and recommend plans for growth through adoption of new methods and/or technologies.', 'Mentor and support the training of new and existing staff in data science and advanced analytics.', 'Support the translation and appropriately champion advanced analytics results and capabilities (e.g. machine learning and natural language processing) to non-technical audiences.', 'Participate in the broader data science community to follow the latest developments in data and technology.', 'Champion an ambitious mindset and collaboration with IT, business partners, and the internal analytics community.', 'PhD in Statistics, Epidemiology, Health Economics, Biostatistics, Computer Science, Clinical/Biomedical Informatics or a related computational and quantitative discipline, or a Master’s degree (scientific field of study) and 3+ years of relevant experience.', 'Domain knowledge in clinical data, real word data (e.g. Optum, Truven, IMS, Pharmetrics, Premier or others), and/or other related data sources such as providers and health systems.', 'Expertise with programming languages such as R, Python or others.', 'Extensive experience in applying data science to complex problems, along with a broad understanding of core statistical principles', 'Understanding and experience with supervised and unsupervised ML techniques.', 'Comfortable working with both technical and non-technical staff to translate concepts and algorithms into working prototypes.', 'Able to thrive in a fast-paced environment with uncertainty.', 'Ability to collaborate with the team and translate existing research into practical solutions and products ability to build and manage relationships with various collaborators across the company', 'Bring an entrepreneurial and ethical mindset, openness, transparency, and collegiality to your work']"
Cambridge Mobile Telematics,Data Scientist - Machine Vision,11b26e66a4c612c6,"['PhD in Computer Science, Engineering, Mathematics or related technical discipline', '3+ years of work experience involving statistical modeling, machine learning theory and software development', 'Strong programming skills for constructing and understanding data pipelines', 'Knowledge of image segmentation, classification, temporal tracking, attention, alignment techniques.', 'Experience implementing deep learning frameworks (TensorFlow, PyTorch ) and architectures (CNN, RNN)', 'Familiarity with popular object detection and classification models', 'Familiarity with object tracking methods']"
ENGIE Insight,Associate Data Scientist - INTERN - PART TIME,0e4152230eaa2a74,"['Mine industrial-size data sets in various states of cleanliness for insights', 'Refine and verify statistical and machine learning algorithms within the Analytics R&D group', 'Assist the Analytics R&D team in running energy and algorithmic models and interpreting the results', 'Evaluate business and technology tradeoffs and report them in a manner that product and business teams can make decisions on final specifications', 'BS required, advanced degree in Computer Science, Engineering, Statistics, or equivalent field desired', 'Strong mathematical background with teachable knowledge of various analytic methodologies such as signal processing, model selection, model verification, optimization, artificial neural networks, Bayesian, etc0-3 years of experience developing, testing, and evaluating algorithms including statistical and machine learning', 'Proficient in large-scale SQL/NoSQL database queries, with associated statistical analyses including the following areas: non-linear and multi-variate regressions, logistic regression, time series analyses, and probabilistic and classification models.', 'Intermediate level knowledge of statistical tools (e.g., R, MatLab, etc.)', 'Familiarity with scripting prototyping/scripting languages, e.g., Python', 'Experience with real-world commercial data analytics and visualization', 'Comfortable with working in a fast-paced multidisciplinary environment while maintaining strict customer data privacy requirements', 'Uncompromising integrity and ethical standards', 'Familiarity with cloud storage and processing technologies is desired']"
Liberty Mutual Insurance,"Assistant Director, Data Science",8f1c1f9d16cf8352,"['Work extensively with key partners to understand business needs, vet opportunities, and deliver analytically-based solutions and tools to drive business results', 'Utilize advanced analytics techniques to solve business problems', 'Regularly utilize, update and adapt predictive modeling tools and/or focus on the application of the tools', 'Build and deliver presentations to communicate technical ideas and analytical findings to non-technical partners and senior leadership, including underwriters and IT professionals', 'Lead complex projects while providing technical and analytical assessments of issues facing the business', 'Lead discussions with senior leadership at the department or functional level', 'Advanced degree in Statistics, Mathematics, Economics, Actuarial Science or other quantitative field of study plus:', '2 years of experience in modeling or advanced analytics with a Ph.D.', ""4 years of experience in modeling or advanced analytics with a Master's degree"", ""5+ years of experience in modeling or advanced analytics with a Bachelor's degree"", 'Knowledge of property and casualty insurance principles, especially underwriting and ratemaking concepts is a plus.', 'Proven understanding of core statistical techniques with prior experience analyzing data and building models in a statistical programming language (e.g., SAS, R, Python, etc.)', 'Ability to quickly grasp concepts and technologies and adapt to changes and demands in fast-paced environment including drawing conclusions and making decisions from imperfect and disparate datasets', 'Strong analytical, strategic, project management, decision-making and problem-solving skills.', 'Good written and verbal communication skills, as well as confirmed ability to effectively present technical concepts to non-technical individuals within and outside the organization']"
