Companies,Positions,ID,Descriptions
Humatics,Associate Robotics Engineer,b97a8748d149f463,"['Design, implement, and maintain localization software included in our Spatial Intelligence Platform™ products.', 'Rigorously quantify localization software performance including optimization, analysis, testing, and verification to ensure software complies with requirements.', 'Develop software requirements at the system and subsystem levels from feature definitions level requirements as well as interactions between various subsystems (both software and hardware).', 'Apply scientific research and methods to identify algorithm limitations and provide solutions to management or cross-functional team leads.', 'Perform analysis, simulation, and testing of prototype localization systems. Participate in the building and maintaining of our realtime software ecosystem.', 'Create documentation, tests and participate in code reviews.', 'Experience developing software products using algorithms related to robotics, machine learning and controls.', 'A Bachelor’s or Master’s degree in Robotics, Electrical, or Computer Engineering.', 'Expert knowledge in localization and sensor fusion algorithms (e.g., Kalman or Particle filters) including rapidly developing and implementing.', 'Prototyping algorithms and developing simulations using C++, Python or Matlab.', 'Deploying and testing localization algorithms on hardware.', 'Develop data analysis and testing methods using hardware and simulation pipelines.', 'Fluency in C++/Python and a demonstrated ability to produce product ready code.', 'Experience with ROS, Docker, Git, iPython, Jupyter Notebooks.', 'Experience in inertial navigation, industrial automation, and/or controls.', 'Competitive salary', 'Meaningful equity ownership in a well-funded start-up', 'Excellent Medical, Dental, and Vision benefits', 'Paid holidays and unlimited paid time off']"
DeepHealth,Software Engineer,682a90083b60716a,"['Degree in Computer Science or related field', '2+ years experience in related field', 'Strong programming skills (e.g., python, javascript)', 'Excellent documentation, version control, and organization skills', 'Experience in web backend development, such as Flask, Django, Node.JS, etc', 'Experience with container technology, such as Docker, Amazon ECS, etc.', 'Experience with DICOM data, PACS infrastructure, FDA-regulated software development is a plus']"
Formlabs,Special Projects Engineer,55817f77a052d808,"['Design and build initial prototypes for the next generation of 3D printing', 'Work with a small team inside of a rapidly growing startup', 'Have hacker skills that would put MacGyver to shame', 'Are ready to dive into complex electromechanical systems', 'Thrive in a technical environment with rapidly evolving goals and priorities', 'Enjoy contributing to projects that are larger than you can build alone', 'Excited to learn whatever you don’t already know', 'Flexible vacation', 'Premium coverage for medical, dental, and vision plans', 'Paid parental leave', 'Commuter benefits', 'Unlimited 3D prints']"
Massachusetts General Hospital(MGH),Software Engineer,e73760f123b76725,"['Develop software requirements specifications for new software releases,', 'Assign software development tasks to other members of the team and monitor their progress,', 'Participate in the coding and testing of the software,', 'Lead the deployment of new software version to the two test sites (Boston Children’s Hospital and University of Houston Health),', 'Organize the collection of feedback data from the test sites and compile summaries of the feedback for the next software development cycle, and', 'Participate in the creation of user documentation and training of users,', 'Keep the project web site up to date,', 'Participate in the weekly videoconferences with the three PIs of the project and report progress.', 'Strong C++ programming skills are required and experience in using the Qt toolkit is desirable.', 'Familiarity with the LINUX, Windows, and/or Mac OSX operating systems is required.', 'Candidates need to be able to work in a modern software development environment and be familiar with controlled software development processes for future FDA compliance.', 'Experience in leading a major software development project is desirable.', 'A successful candidate can work in a dynamic, international, and collaborative work environment.', 'He/She will gain experience in recording and analyzing electrophysiological data, working with state-of-the-art brain mapping technologies as well as engaging in top level research.', 'Familiarity with MEG/EEG and MRI analysis software packages, MNE and FreeSurfer is also beneficial.']"
State Street,CRD Software Engineer I - Wealth Management,b22dc3e348cb175e,"['Understand and develop user interfaces and server side systems for complex securities and trading software', 'Work closely with internal product teams and be capable of spanning Java and/or C# technologies', 'Work in a dynamic, fast-paced (agile) environment similar to a start-up company', 'Bachelor’s or Master’s degree in Computer Science or related', 'Strong academic credentials (high GPA, internship experience ideal)', 'Some level of programming skills in Java, C#, SQL, Perl, XML, etc.', 'Exposure to concepts including: agile/scrum, object oriented programming, software engineering techniques, parallel programming, databases, unit testing, etc.', 'Strong work ethic with ability to ramp up quickly', 'Excellent communication skills (verbal and written), good interpersonal skills, ability to gather and understand requirements in the financial sector', 'Flexibility', 'Ability to work in a very fast paced environment', 'Exposure to commercial software, developing multi-tier enterprise software solutions', 'Any exposure or knowledge of the financial industry is a strong plus, but not required']"
Simon-Kucher & Partners,Data Engineer,655eee310d21f291,"['Validate data and ensure completeness, correctness, and relevance for analyses', 'Develop and automate analytical tools based on the generated cubes to provide marketing, sales and pricing insights', 'Detect, solve, and implement internal process and technology improvements, as well as create, optimize, and maintain new and existing data transfer channels', 'Advise and support clients on how to model, implement and automate robust ETL processes', 'Work with internal and external business and technology experts across the world', 'Degree in a quantitative field, such as computer science, engineering, statistics, operations research, data science, or equivalent experience', 'Experience in relational data management software, languages (esp. SQL), and ETL processes', 'Proven capabilities to build and maintain large and complex data sets', 'Extensive knowledge of analytical / Business Intelligence software, programming languages (e. g. Tableau, PowerBI, SAS)', 'Sharp analytical mindset with a pro-active and reliable attitude', 'Experience with large scale data processing tools (Spark, Hadoop, NoSQL, etc.)', 'Strong programming skills in R and/or Python', 'Data modeling (variable transformation & summarization, algorithm development)', 'Experience with cloud-based data infrastructure (AWS, Azure, Google, etc.)', 'Familiarity with machine learning models and data pipelines', 'Why you are interested in a job at Simon-Kucher.', 'Specific reasons how your application differentiates you from other candidates.']"
Harvard University,Software Engineer,b017958bc83a96a2,"['Augment a new, high-profile application', 'Work with smart and creative people', 'Solve interesting software engineering and computer science problems', 'Use industry-leading technologies', 'Work closely with our designers and product owners to manifest evolving requirements into a working application', 'Design, code, deploy, maintain, and improve end-to-end web applications using Ruby-on-Rails, JavaScript, HTML, SASS/SCSS/CSS, ERB/HAML (or other templating languages), MySQL, Postgres, and related frameworks and tools', 'Develop appropriate unit tests, adhere to coding standards and best practices, and implement a cohesive end product']"
State Street,Java Software Engineer - Multiple Levels - Charles River Development,9741730e400ce9ff,"['Opportunity to influence and impact the architecture, standards, and design of key product initiatives for applications in Java services', 'Contribute as a Sr. Individual contributor within a team of top engineers', 'Work in a dynamic, fast-paced, Agile team environment', '5 to 10+ years of commercial software development, proficient in developing multi-tier solutions', 'BS/MS in Computer Science or equivalent field', 'Knowledgeable of commercial software development, proficient in developing multi-tier solutions', 'Professional Java development experience, core Java and Multithreading', 'Ability to work independently, handle multiple tasks simultaneously and adapt quickly to changes', 'Excellent communication skills (verbal and written), good interpersonal skills, ability to gather and understand requirements in the financial sector (Math background highly desirable)', 'Extensive Java n-tier application experience', 'Hands-on experience with Web Services (C#/.Net also highly desirable)', 'Strong SQL skills with considerable experience in Oracle or SQL Server', 'Knowledge of XML/XSL', 'Experience with Tomcat, JBoss, Weblogic or Websphere', 'Strong with OO design and development', 'Solid grasp of algorithms, solving difficult heuristic/optimization types of problems', 'Experience with developing applications for the financial markets is required (Fixed Income, Trading, FX, Risk, Portfolio/Wealth Management, Market Data, FIX, etc.)', 'Has played a key role in developing and supporting commercial software products which were sold to non-technical customers in vertical markets']"
Frontier Technology Inc.,Software Engineer,6e09a52f7281c54a,"['BS in Computer Science, Electrical Engineering or related study.', 'Minimum of 5+ years’ experience working in a commercial agile software engineering environment', 'Must be a U.S. Citizen', 'Strong verbal and written communication skills.', 'Comfortable supporting and presenting to customers', 'Ability to obtain and maintain a U.S. government security clearance.', 'Current working experience in C\\C++ and Python at an Intermediate to Advanced level', 'Experience working under both Agile and Incremental development methodologies', 'Strong understanding and use of formal software process and standards', 'Experience designing, developing and maintaining application user interfaces', 'Experience with scientific programming and working on large, complex code-bases', 'Experience in distributed and multithreaded processing', 'Experience in Qt and cross platform development under both Windows and Linux', 'Strong background in mathematics, statistics or physical sciences', 'Experience designing, developing, and maintaining APIs', 'Experience in some or all: Jira, continuous integration, Java, MySQL, RESTful Web Services, Big Data algorithms and structure, Machine learning or statistical inference']"
Casa Systems Inc,Software Engineer (entry level) BOSTON,2ed07422dd39f9e0,"['A minimum of an undergraduate degree in Computer Science, Electrical Engineering or related technical discipline. If recent graduate, must have a 3.0 GPA or higher.', 'Up to 5 years of related software development engineering experience (preferably within the telecom network industry).', '2+ to 5 years of experience programming in ""C"".', 'Experience programming in Python and GO a plus.', 'Knowledge and experience with cloud application development a plus.', 'Knowledge and experience with 3GPP protocols in EPC/5G a plus.', 'Good troubleshooting and diagnostic skills.', 'Able to quickly learn new technologies.', 'Able to work in a team oriented, fast-paced environment.', 'Problem solver – Able to be resourceful and “figure things out.”', 'Self-confident – Able to express opinions clearly and effectively.', 'Professional demeanor.']"
BookBub,Software Engineering Intern (Summer 2020),96b98add8e9cd7af,"['Receive one-on-one mentorship and training from experienced engineers who are dedicated to helping you grow quickly', 'Learn the tools we use, and deepen your understanding if you already know them: Rails, React.js, Clojure, Postgres, Redis, AWS, Docker, and more', 'Engage in many deep technical discussions with friendly and talented engineers', 'Ship code to production almost every day via our continuous deployment pipeline', 'Use automated tests and monitoring to ensure code works as expected, and runs correctly in production', 'Work on high-scale systems used by millions of people', 'Complete your internship with the skills and experience to be a professional software engineer at a top-tier tech company', ""You're pursuing an undergraduate degree in computer science or a related field, with anticipated graduation in 2021 or 2022"", ""You've had at least one previous coop or internship developing software with a team"", ""You're comfortable working in at least one general-purpose programming language"", 'You enjoy collaborating with others on shared goals', ""You're an effective communicator, both in writing and in person"", ""You're able to break complex problems into manageable pieces and efficiently assemble solutions""]"
DataDog,Open-Source Software Engineer,70bfd2ba63deaa7a,"['Write open source code that instruments thousands of distributed applications written in Go around the world.', 'Drive our open source Go projects and engage with the community to find and address the most important challenges.', 'Join a great team building software the right way.', 'You’re a master Go programmer. You’ve written high-performance and concurrent applications, know your way around `go tool pprof`. You don’t reinvent the wheel but you prefer keeping your code concise and efficient.', 'You are a great community ambassador and can drive hard technical conversations towards a good solution.', 'You want to work in a fast, high growth startup environment.', 'You have a BS/MS/PhD in a scientific field.', 'You have significant experience with Python, Java, JavaScript, Ruby or PHP.', 'You have have experience with code telemetry and introspection.', 'You have experience with distributed systems.']"
Google,"Software Engineering Intern, MS, Winter 2020",d4224e440fee2b72,"['1. In the “Resume Section:” attach an updated CV or resume.', '2. In the “Education Section:” attach a current or recent unofficial or official transcript in English.', 'Under “Degree Status,” select “Now attending” to upload a transcript.', ""Currently enrolled in a Master's degree program in Computer Science or related technical field."", 'Experience with Data Structures or Algorithms gathered from: completing a data structures or algorithms class, coursework, course projects, research, individual projects, internships, or other practical experience inside or outside of school or work (including open source hobby coding).', 'Experience in Software Development and coding in a general purpose programming language.', 'Examples of coding in one of the following programming languages including but not limited to: C, C++, Java, JavaScript, or Python.', 'Authorization to legally work in the United States.', ""Returning to or enrolling in a Master's degree program after completion of the internship."", 'Experience programming in two or more of the languages including but not limited to: C, C++, C#, Java, JavaScript, Go or Python.', 'Experience working with some of the following: web application development, Unix/Linux environments, mobile application development, distributed and parallel systems, machine learning, information retrieval, natural language processing, networking, developing large software systems, and/or security software development.', 'Demonstrated interest and ability to learn other coding languages as needed.', 'Excellent communication skills, with the ability to speak and write in English.', 'Apply knowledge gained in computer science courses to real-world challenges.', 'Analyze information and evaluate results to choose the best solution to effectively solve challenges.', 'Develop scripts to automate routine tasks.', 'Create and support a productive and innovative team. This includes working with peers, managers, and teams.']"
State Street,Software Engineer II - Charles River Development,46473bc85001af2b,"['CRD (Charles River Development) has a need for a Java Developer influences and impacts the architecture, standards, and design of key product initiatives for applications in C#/WPF and Java services', 'Contribute as an individual contributor within a team of top engineers', 'Work in a dynamic, fast-paced, Agile team environment', 'BS/MS in Computer Science or equivalent field is REQUIRED', '0 to 3+ years of commercial software development, proficient in developing multi-tier solutions, multithreading and core Java proficiency', 'No professional Java development experience required', 'Technical experience includes:', 'Extensive Java, J2EE n-tier application experience', 'Hands-on experience with web services', 'C#/.Net also highly desirable', 'Strong SQL skills with considerable experience in Oracle or SQL Server', 'Knowledge of XML/XSL', 'Experience with Tomcat, JBoss, Weblogic or WebSphere', 'Strong with OO design and development', 'Solid grasp of algorithms, solving difficult heuristic/optimization types of problems (Math and/or finance background highly desirable)', 'Experience with developing applications for the financial markets is highly desirable (Fixed income, Trading, FX, Risk, Portfolio/Wealth Management, Market Data, FIX, etc).', 'Product delivery experience includes developing and supporting commercial software products which were sold to non-technical customers in vertical markets', 'Ability to work independently, handle multiple tasks simultaneously and adapt quickly to changes', 'Excellent communication skills (verbal and written), good interpersonal skills, ability to gather and understand requirements in the financial sector']"
Ignite Mental Health,"Software Engineer, Mental Health Incubator",da57d9b97a79152c,"['Able to work and deliver results in a cross-functional team, with people who are skilled in Computer Science, Engineering and have some familiarity with mental health support', 'Proficient in mobile app development, especially in Javascript and React Native', 'Good data and system design skills', 'Deeply passionate about mental health and improving others lives', 'Experience with AWS cloud services', 'Some experience with Data Science and Machine Learning. Specifically, some knowledge/experience with collecting labeled data for further Natural Language Processing analysis', 'Desire to learn and contribute to mental health related work, and to learn new code bases']"
Direct Digital LLC,"Full Stack Developer, Software Engineer",0e96d393d54646fa,"['Build and maintain websites/applications related to our marketed products.', 'Perform system analysis, design, programming, testing, and debugging of backend technologies including Adaptive Health custom CRM, ad serving platform, and analytics dashboard.', 'Work with team to identify areas of opportunity, provide input on new design features, and advocate for continuous improvement', '3+ years of experience working in a LAMP Stack environment', 'Laravel and/or VUE.js', 'BS Degree in Computer Science or equivalent experience', 'Proficiency with HTML, CSS, and Javascript', 'Strong understanding of object-oriented programming with PHP', 'Experience working in ecommerce/marketing environment a plus', 'Collaborative and solution driven', 'Excellent Communications Skills (written and verbal)', 'Ability to work effectively as part of a team', 'Able to solve complex problems.']"
"Foundation Medicine, Inc.",Software Engineer,adb7b61b9e80fff5,"['Work with technical leaders to help drive sound engineering design, process, quality practices and ultimately production-ready software.', 'Work with technical leads and the rest of the team to understand and hold everyone accountable to our coding and engineering practices.', 'Work closely with product owners, key business and technical stakeholders to ensure FMI is building the best products.', 'Work in an agile/scrum driven environment to deliver new innovative products including participation in daily scrum, code review and knowledge sharing sessions.', 'Strong understanding of code versioning tools (Git/Bitbucket).', 'Demonstrated ability working on modern web applications (JS/NodeJS/DB technologies/cloud-hosted).', 'Strong understanding of RESTFul API development (especially in Node/ExpressJS or similar).', 'Strong understanding of database technologies (PostgreSQL, Oracle).', 'Experience working with cloud hosted environments (AWS/Azure).', 'Demonstrated understanding of testing practices and differences in test types and practices.', 'Experience working with a CI/CD pipeline (Jenkins/Travis/etc.).', 'Experience and knowledge of logging & monitoring tools (New Relic, Logz.io).', 'Demonstrable affinity for pinball.', '2+ years of experience on a software development team in a collaborative environment.', ""Bachelor's Degree in Computer Science, IT or related technology field or demonstrable relevant experience in a technical field."", 'Experience working on an open-source, modern web technology stack.', 'Experience working on large scale applications as part of a software development team.']"
